zcta,Total,Householder who is White alone,Householder who is Black or African American alone,Householder who is American Indian and Alaska Native alone,Householder who is Asian alone,Householder who is Native Hawaiian and Other Pacific Islander alone,Householder who is Some Other Race alone,Householder who is Two or More Races
14744,378,366,3,0,7,0,0,2
11702,5453,5156,92,5,90,0,60,50
12482,295,276,8,0,6,0,2,3
11354,20120,6632,812,41,11198,3,958,476
13073,2494,2439,11,6,9,0,6,23
11413,12227,300,11300,51,99,2,194,281
12771,5573,4973,270,27,64,0,117,122
12575,738,667,28,4,8,0,14,17
12916,839,829,1,6,0,0,0,3
11590,13870,8710,2724,37,977,2,1070,350
12458,932,845,23,4,4,0,33,23
13740,249,240,2,1,3,0,0,3
10553,3499,241,3024,20,24,0,101,89
11762,7510,7319,23,5,99,2,33,29
14841,389,382,0,0,1,1,1,4
13635,438,430,0,1,1,1,0,5
14472,3319,3259,10,5,22,0,4,19
10029,29378,10357,9436,286,1995,22,5915,1367
12435,139,132,6,1,0,0,0,0
13403,1631,1592,21,3,5,0,2,8
11569,581,569,1,0,5,0,3,3
14884,132,129,1,0,0,0,1,1
10596,683,633,6,3,6,0,27,8
13670,185,181,0,1,0,0,0,3
13760,19290,18139,558,35,278,14,78,188
14481,759,733,4,1,6,0,4,11
14522,3874,3792,15,12,15,1,9,30
13655,1283,54,1,1210,0,0,2,16
12729,700,642,16,9,7,0,10,16
13321,486,472,1,1,1,0,4,7
14125,1390,1345,14,9,1,0,12,9
12849,140,139,0,0,1,0,0,0
13849,1949,1914,7,6,4,0,5,13
13682,315,306,0,1,2,0,0,6
10306,20856,18824,461,48,759,6,485,273
12140,640,632,1,1,1,0,4,1
13734,854,848,1,1,0,0,0,4
14840,1407,1386,8,1,1,0,2,9
12976,115,114,0,0,0,0,0,1
13302,572,559,2,2,0,0,2,7
13472,142,141,0,0,0,0,0,1
11231,15216,11125,2044,74,596,3,946,428
12833,1707,1663,9,3,3,0,3,26
14130,92,92,0,0,0,0,0,0
14708,69,68,0,0,1,0,0,0
11950,4751,3825,377,83,78,3,251,134
12046,321,312,1,2,1,0,0,5
12470,224,220,1,1,1,0,0,1
13132,1628,1590,9,15,3,0,2,9
11790,4840,4439,58,2,289,1,21,30
12069,94,90,0,0,0,0,0,4
12583,949,895,12,1,22,1,9,9
11359,0,0,0,0,0,0,0,0
11741,9676,9016,141,14,310,1,121,73
12958,757,750,0,4,1,0,0,2
13411,1293,1271,5,1,2,0,4,10
14435,1204,1188,3,6,1,1,1,4
12412,283,265,2,2,3,0,5,6
14113,264,261,0,2,0,0,0,1
14220,10175,9598,229,53,40,3,170,82
13675,50,48,0,1,0,0,0,1
13783,1108,1062,23,3,6,0,5,9
14437,3980,3875,25,13,12,2,20,33
14482,3376,3252,64,11,5,0,12,32
10704,12465,9912,1034,36,504,6,731,242
11416,7227,2763,853,78,1381,7,1589,556
12209,4197,2798,1022,17,154,2,113,91
14103,4398,4099,179,25,17,1,35,42
10019,25905,18873,1317,64,4080,13,873,685
12117,1341,1321,3,4,1,0,1,11
12878,312,301,1,0,1,0,0,9
11518,4159,3968,45,1,60,1,57,27
12465,148,138,3,1,0,0,3,3
11010,8140,7443,87,13,352,0,170,75
12751,316,259,33,4,3,1,12,4
13044,986,976,0,3,1,0,0,6
14818,722,708,6,1,1,1,1,4
11030,6196,5336,103,4,683,0,21,49
13690,351,342,0,1,2,0,1,5
14051,7157,6467,152,8,454,1,15,60
14098,1114,1078,14,7,2,0,5,8
10271,0,0,0,0,0,0,0,0
13428,636,624,3,2,3,0,2,2
11373,31348,9569,891,178,14514,17,4752,1427
12177,226,222,0,0,1,0,0,3
12442,477,465,0,0,3,0,3,6
14041,89,85,3,0,1,0,0,0
13357,4545,4435,39,8,16,0,14,33
13752,358,353,0,1,0,0,2,2
14478,364,357,1,2,1,0,1,2
11549,0,0,0,0,0,0,0,0
11694,8276,7075,648,21,173,5,255,99
13313,207,199,4,1,1,0,1,1
14167,688,679,0,0,1,1,6,1
14814,787,751,9,1,18,0,2,6
11552,7289,5060,1442,13,306,5,316,147
12165,81,80,0,0,1,0,0,0
12540,2622,2450,42,2,79,2,21,26
12106,953,935,3,0,4,0,4,7
14511,216,206,6,0,1,0,0,3
11417,9230,4553,831,98,1479,12,1634,623
13845,32,31,0,0,0,0,0,1
13314,170,167,0,0,0,0,0,3
10537,917,816,46,0,9,0,22,24
10038,9410,5385,641,22,2748,8,366,240
12487,1260,1183,39,3,10,0,11,14
10505,226,194,3,0,24,0,0,5
11560,2268,2092,46,0,49,0,61,20
11580,12783,7159,3100,39,1272,6,872,335
12461,728,709,3,1,4,0,1,10
14782,921,909,1,3,1,0,2,5
10923,2940,2076,410,10,101,0,272,71
12495,149,144,1,0,3,0,0,1
14813,1016,998,4,1,1,0,1,11
10314,30709,24695,1295,63,3270,11,859,516
10594,1656,1528,14,2,59,0,40,13
12061,3651,3397,93,6,104,0,13,38
12592,546,511,18,2,2,0,4,9
14716,924,906,3,2,1,0,6,6
11729,9553,7706,946,18,505,1,217,160
14838,769,757,1,2,1,0,1,7
12486,619,606,6,0,1,0,0,6
13353,44,43,0,0,0,0,0,1
14883,1657,1607,17,5,8,0,6,14
10969,462,432,13,1,4,0,8,4
11949,5093,4846,73,8,75,2,54,35
12208,9562,7757,1050,15,434,2,112,192
12175,273,266,2,1,1,0,1,2
11947,157,151,1,0,2,0,1,2
12601,15765,9749,4281,100,406,5,752,472
12577,667,617,26,2,5,0,13,4
13083,684,675,0,0,2,0,1,6
11779,13162,12114,239,14,466,3,179,147
14767,713,705,0,0,1,1,1,5
11206,28025,11281,8760,231,1591,17,4908,1237
14464,2800,2716,24,12,8,0,14,26
14709,625,618,1,1,2,0,1,2
13438,1565,1551,4,3,2,1,0,4
13856,2830,2760,13,14,14,0,13,16
13318,497,486,3,0,2,0,1,5
14530,2255,2213,11,3,1,0,13,14
14561,1091,1071,4,1,1,0,12,2
10987,1330,1220,23,1,64,0,8,14
12045,232,217,7,0,0,0,1,7
14111,1297,1251,5,21,0,0,7,13
12017,182,176,1,0,3,0,0,2
10010,16556,13050,739,34,2113,3,276,341
13026,618,603,1,0,3,0,2,9
14882,1562,1487,21,8,12,3,12,19
11968,4426,3810,194,204,56,4,88,70
12444,249,247,0,1,0,0,0,1
12865,1485,1448,13,1,2,2,6,13
11547,273,257,3,1,10,0,0,2
12857,218,211,1,1,0,0,0,5
13804,154,152,0,0,0,0,0,2
14411,5015,4614,264,22,14,3,55,43
12981,917,901,1,4,0,0,1,10
13488,42,42,0,0,0,0,0,0
14870,4089,3733,83,10,199,1,10,53
12204,3445,2222,838,5,253,1,55,71
12764,770,725,23,5,3,0,2,12
12845,2085,2049,4,7,6,0,3,16
10992,3339,2896,206,11,63,0,113,50
11713,3462,2471,628,35,75,2,148,103
12858,28,28,0,0,0,0,0,0
13335,581,574,2,0,1,0,3,1
13810,508,499,3,1,0,0,1,4
13863,238,232,1,2,0,0,0,3
12855,108,108,0,0,0,0,0,0
14037,444,441,1,1,0,0,0,1
12071,112,110,1,0,1,0,0,0
14054,514,504,2,1,2,0,2,3
14169,67,66,0,0,0,0,0,1
12542,2236,2049,95,6,14,0,46,26
10462,29855,10224,10029,253,2352,26,5494,1477
10031,20638,5290,8331,212,565,9,4917,1314
12490,45,45,0,0,0,0,0,0
14545,70,69,1,0,0,0,0,0
10526,674,632,18,0,14,0,2,8
12822,2420,2371,5,7,3,0,3,31
13308,1407,1383,7,4,3,0,1,9
10970,3666,2604,560,12,232,2,180,76
14894,574,563,2,0,2,0,2,5
12036,94,94,0,0,0,0,0,0
13651,59,56,1,0,0,0,0,2
13681,325,317,0,1,1,0,1,5
13082,1993,1962,8,3,4,2,2,12
13140,1724,1692,13,4,0,1,3,11
12754,2877,2297,276,17,31,1,185,70
11435,17724,5670,5107,148,3115,27,2562,1095
11237,15512,6301,1706,178,1177,12,5236,902
12530,54,52,1,0,0,0,0,1
10039,10070,1047,7413,61,160,4,1020,365
14048,6377,5406,294,51,22,1,516,87
12452,107,106,0,1,0,0,0,0
13502,13811,11786,1252,33,236,5,270,229
13652,691,677,1,4,0,0,2,7
13775,682,664,3,2,2,0,3,8
14519,4503,4405,43,11,14,0,9,21
11370,9415,5626,186,37,1810,3,1396,357
13204,8207,5338,1926,131,61,2,463,286
14864,540,534,1,1,0,0,0,4
14536,271,266,0,0,1,0,1,3
10004,1692,1226,49,6,368,0,14,29
13801,570,548,4,3,2,0,2,11
13666,103,98,0,1,0,0,0,4
14201,5732,3298,1299,74,91,4,794,172
10458,26201,7997,7349,381,1007,24,7897,1546
11001,9198,7316,492,16,952,2,256,164
12752,120,118,2,0,0,0,0,0
14706,2557,2485,11,14,31,0,3,13
11211,33489,25397,1699,173,1551,24,3552,1093
12118,5883,5740,26,10,53,0,13,41
11367,14972,9036,1781,30,2868,4,718,535
12474,542,534,1,0,2,0,1,4
12007,26,25,0,1,0,0,0,0
13440,17161,16153,524,49,136,0,99,200
14261,2,2,0,0,0,0,0,0
11755,4187,3767,66,8,258,0,51,37
