uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
5186482,Chicago,13B,simple assault,assault offenses,persons,2018-07-01T19:28:00Z,-87.609213,41.817824,residence,residence,1.70314E+14
5186508,Chicago,13B,simple assault,assault offenses,persons,2018-07-01T20:00:00Z,-87.631789,41.894825,bar/club,leisure,1.70311E+14
5186905,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-02T06:38:00Z,-87.7627,41.877468,residence,residence,1.70313E+14
5187277,Chicago,290,destruction of property,destruction of property,property,2018-07-02T19:30:00Z,-87.735239,41.874153,supermarket,retail,1.70313E+14
5187381,Chicago,13A,aggravated assault,assault offenses,persons,2018-07-02T21:37:00Z,-87.589566,41.77082,street,street,1.70314E+14
5187411,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-07-02T22:00:00Z,-87.56985,41.717372,street,street,1.70315E+14
5187495,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-07-02T23:50:00Z,-87.699602,41.86767,abandoned,other,1.70318E+14
5187659,Chicago,13B,simple assault,assault offenses,persons,2018-07-03T03:35:00Z,-87.6316,41.889204,restaurant,leisure,1.70311E+14
5187678,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-03T04:01:00Z,-87.693776,41.77364,street,street,1.70317E+14
5187748,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-03T07:00:00Z,-87.69585,41.821877,street,street,1.70316E+14
5187957,Chicago,90J,trespass of real property,trespass of real property,society,2018-07-03T16:00:00Z,-87.625821,41.88573,convenience store,retail,1.70313E+14
5188270,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-03T23:00:00Z,-87.630462,41.894844,street,street,1.70311E+14
5188321,Chicago,23D,theft from building,larceny/theft offenses,property,2018-07-04T00:08:00Z,-87.623602,41.894149,restaurant,leisure,1.70311E+14
5188452,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-04T03:30:00Z,-87.670737,41.998469,bar/club,leisure,1.70318E+14
5188608,Chicago,12A,personal robbery,robbery,property,2018-07-04T09:00:00Z,-87.742277,41.880532,street,street,1.70313E+14
5188640,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-07-04T11:00:00Z,-87.685899,41.861625,vehicle parking,open space,1.70318E+14
5188672,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-04T12:30:00Z,-87.648241,41.957874,private vehicle,vehicle,1.7031E+14
5188704,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-04T14:00:00Z,-87.726767,41.836156,residence,residence,1.70318E+14
5188827,Chicago,13A,aggravated assault,assault offenses,persons,2018-07-04T17:00:00Z,-87.64467,41.7753,vehicle parking,open space,1.70317E+14
5189064,Chicago,520,weapon law violations,weapon law violations,society,2018-07-04T23:20:00Z,-87.686181,41.996623,street,street,1.7031E+14
5189124,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-07-05T01:00:00Z,-87.674892,41.786619,street,street,1.70317E+14
5189162,Chicago,13B,simple assault,assault offenses,persons,2018-07-05T01:47:00Z,-87.730244,41.941762,street,street,1.70312E+14
5189164,Chicago,13B,simple assault,assault offenses,persons,2018-07-05T01:50:00Z,-87.616103,41.891081,other,other,1.70311E+14
5189220,Chicago,22B,non-breaking/entering,burglary/breaking & entering,property,2018-07-05T02:40:00Z,-87.702384,41.953955,other,other,1.70312E+14
5189237,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-07-05T03:00:00Z,-87.64319,41.838085,gas station,retail,1.70316E+14
5189281,Chicago,520,weapon law violations,weapon law violations,society,2018-07-05T03:44:00Z,-87.674179,41.789614,street,street,1.70317E+14
5189477,Chicago,13B,simple assault,assault offenses,persons,2018-07-05T10:50:00Z,-87.62148,41.819278,residence,residence,1.70318E+14
5189521,Chicago,90Z,all other offenses,all other offenses,other,2018-07-05T13:00:00Z,-87.738626,41.881893,residence,residence,1.70313E+14
5189633,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-07-05T16:08:00Z,-87.687713,41.926898,convenience store,retail,1.70318E+14
5189730,Chicago,13B,simple assault,assault offenses,persons,2018-07-05T18:30:00Z,-87.643577,41.915497,residence,residence,1.70311E+14
5189777,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-07-05T19:55:00Z,-87.641807,41.879279,college,education,1.70313E+14
5189790,Chicago,12A,personal robbery,robbery,property,2018-07-05T20:00:00Z,-87.668655,41.793979,street,street,1.70316E+14
5190154,Chicago,13B,simple assault,assault offenses,persons,2018-07-06T05:00:00Z,-87.612435,41.748707,residence,residence,1.70314E+14
5190174,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-07-06T06:00:00Z,-87.718978,41.994245,residence,residence,1.70311E+14
5190200,Chicago,13B,simple assault,assault offenses,persons,2018-07-06T06:58:00Z,-87.601572,41.752379,street,street,1.70317E+14
5190256,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-06T11:00:00Z,-87.710192,41.987565,street,street,1.70311E+14
5190607,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-06T20:00:00Z,-87.645925,41.91308,street,street,1.70311E+14
5190772,Chicago,26A,false pretenses,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-07-06T23:08:00Z,-87.658124,41.863399,residence,residence,1.70318E+14
5190845,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-07-07T01:00:00Z,-87.708142,41.759743,street,street,1.70317E+14
5190870,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-07T01:30:00Z,-87.71022,41.930788,bar/club,leisure,1.70312E+14
5190939,Chicago,23D,theft from building,larceny/theft offenses,property,2018-07-07T03:00:00Z,-87.652551,41.779639,residence,residence,1.70317E+14
5191192,Chicago,90Z,all other offenses,all other offenses,other,2018-07-07T12:45:00Z,-87.659238,41.843611,other,other,1.70316E+14
5191201,Chicago,23H,other theft,larceny/theft offenses,property,2018-07-07T13:00:00Z,-87.725699,41.841672,residence,residence,1.70313E+14
5191325,Chicago,12A,personal robbery,robbery,property,2018-07-07T16:30:00Z,-87.586115,41.757614,vehicle parking,open space,1.70318E+14
